entidad_federativa,mes,accidentes,danios_materiales_millones,heridos,muertos
Aguascalientes,enero,17.0,0.738,21.0,3.0
Aguascalientes,febrero,15.0,0.713,16.0,2.0
Aguascalientes,marzo,14.0,0.3743,10.0,1.0
Aguascalientes,abril,13.0,0.4145,7.0,1.0
Aguascalientes,mayo,13.0,0.547,15.0,0.0
Aguascalientes,junio,15.0,0.78,8.0,0.0
Aguascalientes,julio,8.0,0.734,7.0,3.0
Aguascalientes,agosto,17.0,1.182,24.0,14.0
Aguascalientes,septiembre,14.0,0.5215,15.0,4.0
Aguascalientes,octubre,11.0,1.193,12.0,4.0
Aguascalientes,noviembre,15.0,1.4555,31.0,8.0
Aguascalientes,diciembre,27.0,1.6742,34.0,9.0
Baja California,enero,31.0,2.7025,11.0,9.0
Baja California,febrero,26.0,0.9035,11.0,9.0
Baja California,marzo,29.0,1.1975,32.0,2.0
Baja California,abril,27.0,2.246,12.0,12.0
Baja California,mayo,27.0,1.0942,21.0,3.0
Baja California,junio,33.0,1.519,29.0,9.0
Baja California,julio,34.0,1.737,19.0,10.0
Baja California,agosto,30.0,2.564,12.0,4.0
Baja California,septiembre,37.0,2.081,25.0,4.0
Baja California,octubre,36.0,2.999,22.0,5.0
Baja California,noviembre,28.0,1.61,15.0,9.0
Baja California,diciembre,39.0,1.8925,30.0,7.0
Baja California Sur,enero,18.0,0.658,9.0,0.0
Baja California Sur,febrero,20.0,1.0423,9.0,6.0
Baja California Sur,marzo,14.0,0.498,6.0,4.0
Baja California Sur,abril,26.0,1.0765,26.0,8.0
Baja California Sur,mayo,16.0,1.2,10.0,2.0
Baja California Sur,junio,13.0,0.472,11.0,2.0
Baja California Sur,julio,26.0,0.979,19.0,7.0
Baja California Sur,agosto,11.0,0.81,6.0,3.0
Baja California Sur,septiembre,15.0,1.115,8.0,2.0
Baja California Sur,octubre,18.0,0.758,10.0,5.0
Baja California Sur,noviembre,11.0,0.3895,14.0,2.0
Baja California Sur,diciembre,13.0,0.595,12.0,6.0
Campeche,enero,18.0,1.72,15.0,6.0
Campeche,febrero,15.0,0.9075,13.0,7.0
Campeche,marzo,17.0,1.55,6.0,0.0
Campeche,abril,23.0,2.973,11.0,4.0
Campeche,mayo,16.0,1.528,5.0,7.0
Campeche,junio,13.0,0.8205,14.0,1.0
Campeche,julio,19.0,2.247,17.0,1.0
Campeche,agosto,14.0,1.75,12.0,0.0
Campeche,septiembre,17.0,0.7212,5.0,3.0
Campeche,octubre,13.0,0.624,2.0,1.0
Campeche,noviembre,9.0,0.721,3.0,1.0
Campeche,diciembre,21.0,1.356,9.0,2.0
Chiapas,enero,58.0,3.523,29.0,3.0
Chiapas,febrero,64.0,3.764,13.0,5.0
Chiapas,marzo,76.0,8.997,52.0,11.0
Chiapas,abril,59.0,4.14,25.0,18.0
Chiapas,mayo,51.0,2.886,79.0,22.0
Chiapas,junio,35.0,2.655,20.0,10.0
Chiapas,julio,48.0,2.8021,26.0,4.0
Chiapas,agosto,72.0,4.9055,37.0,4.0
Chiapas,septiembre,54.0,3.687,30.0,12.0
Chiapas,octubre,54.0,2.901,38.0,5.0
Chiapas,noviembre,40.0,2.547,26.0,12.0
Chiapas,diciembre,65.0,6.0605,46.0,10.0
Chihuahua,enero,27.0,2.744,16.0,7.0
Chihuahua,febrero,24.0,2.216,13.0,2.0
Chihuahua,marzo,38.0,6.831,26.0,13.0
Chihuahua,abril,43.0,2.205,21.0,7.0
Chihuahua,mayo,47.0,3.707,35.0,12.0
Chihuahua,junio,44.0,4.2955,30.0,15.0
Chihuahua,julio,55.0,7.165,35.0,14.0
Chihuahua,agosto,32.0,3.5395,20.0,9.0
Chihuahua,septiembre,29.0,1.918,12.0,13.0
Chihuahua,octubre,35.0,3.814,34.0,8.0
Chihuahua,noviembre,32.0,3.035,28.0,10.0
Chihuahua,diciembre,50.0,4.5902,31.0,14.0
Ciudad De Mexico,enero,2.0,0.072,0.0,1.0
Ciudad De Mexico,febrero,8.0,0.523,15.0,3.0
Ciudad De Mexico,marzo,6.0,0.385,9.0,4.0
Ciudad De Mexico,abril,8.0,0.305,6.0,2.0
Ciudad De Mexico,mayo,4.0,0.16,3.0,1.0
Ciudad De Mexico,junio,4.0,0.135,3.0,0.0
Ciudad De Mexico,julio,7.0,0.282,8.0,0.0
Ciudad De Mexico,agosto,6.0,1.09,7.0,2.0
Ciudad De Mexico,septiembre,7.0,0.9855,4.0,1.0
Ciudad De Mexico,octubre,8.0,0.673,3.0,1.0
Ciudad De Mexico,noviembre,2.0,0.285,14.0,1.0
Ciudad De Mexico,diciembre,5.0,0.3805,6.0,3.0
Coahuila,enero,12.0,1.359,7.0,3.0
Coahuila,febrero,10.0,0.246,9.0,4.0
Coahuila,marzo,24.0,1.478,27.0,12.0
Coahuila,abril,11.0,0.62,10.0,2.0
Coahuila,mayo,11.0,0.824,6.0,3.0
Coahuila,junio,15.0,0.617,9.0,11.0
Coahuila,julio,13.0,0.61,9.0,3.0
Coahuila,agosto,10.0,0.74,10.0,7.0
Coahuila,septiembre,12.0,0.2895,7.0,3.0
Coahuila,octubre,26.0,1.6847,21.0,11.0
Coahuila,noviembre,16.0,0.811,21.0,8.0
Coahuila,diciembre,11.0,0.646,22.0,2.0
Colima,enero,11.0,1.3205,6.0,2.0
Colima,febrero,20.0,0.903,10.0,4.0
Colima,marzo,17.0,0.6975,36.0,1.0
Colima,abril,8.0,1.1215,10.0,2.0
Colima,mayo,13.0,1.001,6.0,2.0
Colima,junio,16.0,3.426,14.0,2.0
Colima,julio,18.0,1.617,15.0,6.0
Colima,agosto,20.0,2.5455,8.0,6.0
